full,city,state,extraversion,neuroticism,agreeableness,conscientiousness,openness,pop,lat,long,extraversion_scaled,neuroticism_scaled,agreeableness_scaled,conscientiousness_scaled,openness_scaled,extraversion_percentile,neuroticism_percentile,agreeableness_percentile,conscientiousness_percentile,openness_percentile
Seattle WA,Seattle,Washington,-0.04,0,0,-0.07,0.16,570430,47.62,-122.35,-0.2666666666666667,0.125,-0.023255813953488413,-0.5652173913043479,0.7435897435897434,0.10983397190293742,0.5108556832694764,0.3090676883780332,0.02554278416347382,0.9808429118773946
Boston MA,Boston,Massachusetts,0.09,-0.07,-0.11,0.02,0.12,567759,42.34,-71.02,0.6000000000000001,-0.3125000000000001,-0.5348837209302326,0.21739130434782616,0.5384615384615383,0.9719029374201787,0.06385696040868455,0.0280970625798212,0.6743295019157088,0.9425287356321839
Denver CO,Denver,Colorado,0.01,-0.08,0.01,0.02,0.08,556575,39.77,-104.87,0.06666666666666665,-0.3750000000000001,0.023255813953488413,0.21739130434782616,0.33333333333333326,0.5632183908045977,0.04342273307790549,0.37420178799489145,0.6743295019157088,0.8684546615581098
Las Vegas NV,Las Vegas,Nevada,0.06,-0.06,0.03,-0,0.08,553807,36.21,-115.22,0.3999999999999999,-0.25,0.11627906976744184,0.04347826086956519,0.33333333333333326,0.9233716475095786,0.09578544061302682,0.5389527458492975,0.46998722860791825,0.8684546615581098
Portland OR,Portland,Oregon,-0.05,-0.02,0.04,-0,0.1,542751,45.54,-122.66,-0.33333333333333337,0,0.16279069767441867,0.04347826086956519,0.4358974358974359,0.06768837803320563,0.3397190293742018,0.6232439335887612,0.46998722860791825,0.9169859514687101
Oklahoma City OK,Oklahoma City,Oklahoma,-0.04,0.02,0.01,0.02,-0.01,538141,35.47,-97.51,-0.2666666666666667,0.24999999999999978,0.023255813953488413,0.21739130434782616,-0.1282051282051283,0.10983397190293742,0.6564495530012772,0.37420178799489145,0.6743295019157088,0.40229885057471265
Tucson AZ,Tucson,Arizona,-0.04,-0.03,0.06,0.01,0.06,525268,32.2,-110.89,-0.2666666666666667,-0.0625,0.2558139534883721,0.1304347826086958,0.23076923076923062,0.10983397190293742,0.2656449553001277,0.7535121328224776,0.5593869731800766,0.7994891443167306
Albuquerque NM,Albuquerque,New Mexico,-0.05,-0.01,0.04,0.04,0.12,494962,35.12,-106.62,-0.33333333333333337,0.06249999999999978,0.16279069767441867,0.39130434782608714,0.5384615384615383,0.06768837803320563,0.43167305236270753,0.6232439335887612,0.8671775223499362,0.9425287356321839
Long Beach CA,Long Beach,California,0.08,-0.1,0.01,-0.08,0.19,486571,33.79,-118.16,0.5333333333333332,-0.5000000000000001,0.023255813953488413,-0.6521739130434783,0.8974358974358974,0.9629629629629629,0.02681992337164751,0.37420178799489145,0.017879948914431672,0.9948914431673053
Sacramento CA,Sacramento,California,-0,-0.04,0.02,-0.01,0.04,480392,38.57,-121.47,0,-0.1250000000000001,0.06976744186046502,-0.04347826086956519,0.1282051282051282,0.48148148148148145,0.19284802043422733,0.46360153256704983,0.3397190293742018,0.7113665389527458
Fresno CA,Fresno,California,0,-0.04,0.05,-0.02,0.07,472517,36.78,-119.79,0,-0.1250000000000001,0.2093023255813955,-0.13043478260869568,0.28205128205128194,0.48148148148148145,0.19284802043422733,0.6845466155810983,0.2515964240102171,0.8403575989782887
Mesa AZ,Mesa,Arizona,0.02,-0.04,0.14,0.02,-0.03,461167,33.42,-111.74,0.1333333333333333,-0.1250000000000001,0.627906976744186,0.21739130434782616,-0.23076923076923084,0.6730523627075351,0.19284802043422733,0.9910600255427842,0.6743295019157088,0.2848020434227331
New Orleans LA,New Orleans,Louisiana,0.15,-0.11,-0.05,0.05,0.18,454207,30.07,-89.93,1,-0.5625,-0.2558139534883722,0.4782608695652173,0.846153846153846,0.9987228607918263,0.019157088122605363,0.1111111111111111,0.9169859514687101,0.9923371647509579
Virginia Beach VA,Virginia Beach,Virginia,0.05,-0,-0.01,-0.01,0.02,453884,36.74,-76.04,0.3333333333333335,0.125,-0.06976744186046513,-0.04347826086956519,0.02564102564102555,0.8837803320561941,0.5108556832694764,0.24521072796934865,0.3397190293742018,0.5951468710089399
Cleveland OH,Cleveland,Ohio,0.05,-0.06,-0.12,0.06,0.08,443949,41.48,-81.68,0.3333333333333335,-0.25,-0.5813953488372093,0.5652173913043479,0.33333333333333326,0.8837803320561941,0.09578544061302682,0.021711366538952746,0.9578544061302682,0.8684546615581098
Kansas City MO,Kansas City,Missouri,-0.04,-0.04,-0.02,0.01,0.05,441833,39.12,-94.55,-0.2666666666666667,-0.1250000000000001,-0.11627906976744184,0.1304347826086958,0.1794871794871793,0.10983397190293742,0.19284802043422733,0.20178799489144317,0.5593869731800766,0.7586206896551724
Atlanta GA,Atlanta,Georgia,0.13,-0.16,-0.09,0.05,0.11,424096,33.76,-84.42,0.8666666666666669,-0.8750000000000001,-0.4418604651162791,0.4782608695652173,0.487179487179487,0.9885057471264368,0.001277139208173691,0.04342273307790549,0.9169859514687101,0.9310344827586207
Omaha NE,Omaha,Nebraska,0.01,-0.01,0.03,0.03,-0.03,417809,41.26,-96.01,0.06666666666666665,0.06249999999999978,0.11627906976744184,0.30434782608695654,-0.23076923076923084,0.5632183908045977,0.43167305236270753,0.5389527458492975,0.776500638569604,0.2848020434227331
Oakland CA,Oakland,California,0.05,-0.08,-0.11,-0.09,0.19,393632,37.77,-122.22,0.3333333333333335,-0.3750000000000001,-0.5348837209302326,-0.7391304347826086,0.8974358974358974,0.8837803320561941,0.04342273307790549,0.0280970625798212,0.008939974457215836,0.9948914431673053
Miami FL,Miami,Florida,0.15,-0.15,-0.07,0.01,0.19,386740,25.78,-80.21,1,-0.8125,-0.34883720930232565,0.1304347826086958,0.8974358974358974,0.9987228607918263,0.0038314176245210726,0.06768837803320563,0.5593869731800766,0.9948914431673053
Tulsa OK,Tulsa,Oklahoma,-0.01,-0.02,0.08,0.04,0.07,379833,36.13,-95.92,-0.06666666666666676,0,0.34883720930232553,0.39130434782608714,0.28205128205128194,0.367816091954023,0.3397190293742018,0.8735632183908046,0.8671775223499362,0.8403575989782887
Colorado Springs CO,Colorado Springs,Colorado,-0.05,-0.05,0.07,0.02,0.04,375744,38.86,-104.76,-0.33333333333333337,-0.1875,0.30232558139534893,0.21739130434782616,0.1282051282051282,0.06768837803320563,0.13026819923371646,0.8173690932311622,0.6743295019157088,0.7113665389527458
Arlington TX,Arlington,Texas,-0.01,-0.05,0.03,-0.01,-0,374729,32.69,-97.13,-0.06666666666666676,-0.1875,0.11627906976744184,-0.04347826086956519,-0.07692307692307698,0.367816091954023,0.13026819923371646,0.5389527458492975,0.3397190293742018,0.4661558109833972
Minneapolis MN,Minneapolis,Minnesota,-0.02,-0.05,0.01,-0.03,0.13,364726,44.96,-93.27,-0.1333333333333333,-0.1875,0.023255813953488413,-0.21739130434782605,0.5897435897435896,0.2656449553001277,0.13026819923371646,0.37420178799489145,0.17879948914431673,0.9604086845466155
