full,city,state,extraversion,neuroticism,agreeableness,conscientiousness,openness,pop,lat,long
New Bedford MA,New Bedford,Massachusetts,-0.04,0.07,-0.02,-0.04,-0.08,94039,41.66,-70.94
Redding CA,Redding,California,-0.03,0,0.03,0.02,0.01,93865,40.57,-122.36
Carlsbad CA,Carlsbad,California,0.05,-0.02,0.09,-0.03,-0,93848,33.12,-117.29
Waukegan IL,Waukegan,Illinois,0.06,-0.12,0.01,0.01,0.06,93664,42.37,-87.87
Albany NY,Albany,New York,0.03,0.02,-0.07,0.03,0.08,93576,42.67,-73.8
Vista CA,Vista,California,-0.01,-0.01,0.03,-0.02,0.12,93266,33.19,-117.24
Fall River MA,Fall River,Massachusetts,0,0.11,0.04,-0.05,-0.06,93128,41.71,-71.11
Wilmington NC,Wilmington,North Carolina,-0,0.06,0.04,-0.01,-0.04,93097,34.21,-77.91
Columbia MO,Columbia,Missouri,0.01,-0.03,0.12,0.03,0.02,92756,38.95,-92.33
Fargo ND,Fargo,North Dakota,-0.01,0.01,0.03,-0.05,0.01,92396,46.88,-96.82
Tyler TX,Tyler,Texas,0.01,-0.02,0.04,-0.01,0.04,92155,32.33,-95.3
Sunrise FL,Sunrise,Florida,0.01,0.01,-0.01,-0.02,0.02,92094,26.15,-80.3
Lakeland FL,Lakeland,Florida,0.01,0.02,0.01,0.06,0.01,92011,28.04,-81.96
Lawton OK,Lawton,Oklahoma,-0.01,0.04,-0.05,0.04,-0.03,91453,34.6,-98.42
Odessa TX,Odessa,Texas,0.01,-0.03,0,0.01,-0.02,91246,31.87,-102.35
Palm Bay FL,Palm Bay,Florida,-0.05,-0.01,0,0.01,-0.05,91080,27.99,-80.66
Boulder CO,Boulder,Colorado,0.01,-0.04,0.04,-0.04,0.16,90957,40.03,-105.25
Pompano Beach FL,Pompano Beach,Florida,0,-0.03,-0.01,0.02,0.07,90446,26.24,-80.13
Roanoke VA,Roanoke,Virginia,-0.05,0.06,0.03,-0,0.03,90410,37.28,-79.96
Temecula CA,Temecula,California,0.02,-0.06,0.08,0.02,0.03,90347,33.5,-117.13
Citrus Heights CA,Citrus Heights,California,-0.01,-0.02,0.12,0.04,0.03,90277,38.69,-121.29
Westminster CA,Westminster,California,-0.01,0.05,0.05,-0.09,-0.03,90187,33.75,-117.99
Clovis CA,Clovis,California,-0.02,-0.02,0.06,0.02,0.02,90115,36.82,-119.7
Yakima WA,Yakima,Washington,-0.11,-0,0.02,-0.02,-0.06,89815,46.59,-120.53
Lynn MA,Lynn,Massachusetts,-0.07,0.1,-0.14,-0.08,-0.05,89786,42.47,-70.96
Sandy UT,Sandy,Utah,0,-0.09,0.14,0.02,-0.02,89698,40.57,-111.85
Tracy CA,Tracy,California,0.04,-0.04,0.06,-0.09,0.05,89639,37.74,-121.43
Miami Beach FL,Miami Beach,Florida,0.14,-0.06,-0.14,0.01,0.13,89531,25.81,-80.14
San Mateo CA,San Mateo,California,0.02,-0.02,-0,-0.06,-0.03,89495,37.56,-122.31
Quincy MA,Quincy,Massachusetts,-0.01,0.07,0.01,-0.05,-0.05,89347,42.26,-71.01
Santa Monica CA,Santa Monica,California,0.03,-0.06,-0.04,-0.02,0.16,89112,34.01,-118.49
Greeley CO,Greeley,Colorado,-0.01,-0.08,0.09,0.06,0.04,88957,40.42,-104.74
Alhambra CA,Alhambra,California,-0.06,0.03,0.01,-0.1,-0.12,88857,34.08,-118.13
Sparks NV,Sparks,Nevada,-0.02,-0.03,0.1,0.03,-0.04,88518,39.54,-119.74
Warwick RI,Warwick,Rhode Island,-0.02,0.1,0.01,-0.02,-0.13,88443,41.7,-71.42
Murfreesboro TN,Murfreesboro,Tennessee,0.03,0.03,0.03,0.01,-0.04,88161,35.85,-86.39
San Angelo TX,San Angelo,Texas,-0.02,-0,-0.02,0.02,-0.09,88143,31.45,-100.45
Victorville CA,Victorville,California,-0.03,0.05,-0.02,-0.03,0.01,87903,34.52,-117.33
Hawthorne CA,Hawthorne,California,-0.02,0.01,-0.01,-0.06,0.03,87677,33.91,-118.35
Nashua NH,Nashua,New Hampshire,-0.05,0.07,0.07,-0.03,-0.05,87113,42.75,-71.49
Santa Maria CA,Santa Maria,California,-0.03,-0.06,0.11,-0.01,0.07,87107,34.94,-120.44
Broken Arrow OK,Broken Arrow,Oklahoma,0,-0.01,0.09,-0.03,-0.05,86817,36.04,-95.79
Plantation FL,Plantation,Florida,0.03,-0.05,-0.01,0.03,0.05,86330,26.13,-80.26
Whittier CA,Whittier,California,0.01,-0.06,0,-0.03,0.05,86182,33.97,-118.02
Santa Barbara CA,Santa Barbara,California,0.05,-0,0.04,-0.06,0.12,86115,34.43,-119.72
Longmont CO,Longmont,Colorado,-0.06,0.03,0.02,-0,-0.02,85988,40.17,-105.11
Yuma AZ,Yuma,Arizona,-0.03,0.02,-0,0.05,-0.07,85720,32.68,-114.62
Hillsboro OR,Hillsboro,Oregon,-0.05,-0.07,0.13,0.02,-0.01,85046,45.53,-122.94
Newton MA,Newton,Massachusetts,0.05,0.01,0.07,0.02,-0.01,84969,42.33,-71.21
Norwalk CT,Norwalk,Connecticut,-0.01,-0.04,-0.02,0.01,0.01,84801,41.09,-73.42
Trenton NJ,Trenton,New Jersey,0.11,-0.1,-0.17,-0.04,-0.05,84653,40.22,-74.76
Deltona FL,Deltona,Florida,-0.06,0.03,-0.01,0.04,-0.05,84646,28.91,-81.21
Duluth MN,Duluth,Minnesota,-0.03,-0.01,0.03,0.02,-0.05,84472,46.78,-92.12
Allen TX,Allen,Texas,0.01,-0.04,0.14,-0.02,-0.03,84467,33.11,-96.67
Westland MI,Westland,Michigan,-0.03,0.1,-0.06,-0.01,-0.06,84414,42.32,-83.38
Suffolk VA,Suffolk,Virginia,-0.05,0.06,-0,-0,-0.05,84396,36.7,-76.64
Lawrence KS,Lawrence,Kansas,-0.02,-0.02,0.04,-0.02,0.04,83948,38.96,-95.26
Beaverton OR,Beaverton,Oregon,-0.05,-0.02,0.09,-0.02,-0.02,83920,45.48,-122.82
Cranston RI,Cranston,Rhode Island,-0.01,0.12,-0.01,-0,-0.04,83595,41.77,-71.48
North Charleston SC,North Charleston,South Carolina,0.02,-0.01,0.02,-0.01,-0.07,83247,32.91,-80.04
Kent WA,Kent,Washington,-0.02,-0.08,0.1,0.04,-0.1,82896,47.39,-122.24
Sioux City IA,Sioux City,Iowa,0.01,0.07,0.01,-0.01,-0.09,82863,42.5,-96.39
Lakewood CA,Lakewood,California,0.01,-0.05,0.11,0.03,0.01,82632,33.85,-118.12
Fort Smith AR,Fort Smith,Arkansas,0.02,-0.01,0.03,0.01,0.02,82304,35.37,-94.38
Parma OH,Parma,Ohio,-0.03,0.1,0,0.03,-0.09,81917,41.38,-81.73
Boca Raton FL,Boca Raton,Florida,0.05,-0.01,0.07,0.01,0.07,81868,26.37,-80.11
Livermore CA,Livermore,California,0,-0.04,0.09,0.01,-0,81787,37.69,-121.76
Las Cruces NM,Las Cruces,New Mexico,-0.02,-0.02,0.01,0.02,0.06,81473,32.34,-106.76
Baldwin Park CA,Baldwin Park,California,-0,0.03,-0.02,-0.08,-0.01,81467,34.08,-117.97
Troy MI,Troy,Michigan,-0.04,0.02,0.04,-0.03,-0.02,81296,42.58,-83.14
Chino Hills CA,Chino Hills,California,0.06,-0.09,0.02,-0.03,0.01,80817,33.97,-117.75
College Station TX,College Station,Texas,-0.01,-0,0.02,-0,0.03,80627,30.6,-96.31
Bloomington MN,Bloomington,Minnesota,0.03,-0.03,0.03,0.03,-0.07,80627,44.83,-93.32
Clifton NJ,Clifton,New Jersey,-0.01,0.1,-0.03,-0.03,-0.04,80446,40.86,-74.16
Camden NJ,Camden,New Jersey,0.04,-0.06,-0.1,0.02,0.09,80393,39.94,-75.11
Federal Way WA,Federal Way,Washington,0.03,-0.04,0.09,-0.02,-0.02,80336,47.31,-122.34
Frisco TX,Frisco,Texas,0.04,-0.04,0.05,-0,-0.01,80192,33.14,-96.81
Tuscaloosa AL,Tuscaloosa,Alabama,0.04,-0.05,0.01,0.05,-0.04,80164,33.24,-87.54
San Leandro CA,San Leandro,California,0.02,-0.03,0.01,0.01,0.06,80015,37.71,-122.15
Farmington Hills MI,Farmington Hills,Michigan,0.04,-0.05,0.02,-0.01,-0.07,79530,42.49,-83.38
Reading PA,Reading,Pennsylvania,-0.05,0.05,-0.03,0.04,-0.01,79476,40.34,-75.93
Buena Park CA,Buena Park,California,-0,0.04,0.01,-0.03,0.03,79388,33.86,-118
Newport Beach CA,Newport Beach,California,0.14,-0.11,0,0.04,0.04,79305,33.61,-117.87
Danbury CT,Danbury,Connecticut,0.02,0.04,-0.06,-0.02,0.02,79292,41.4,-73.47
Avondale AZ,Avondale,Arizona,0.01,0.01,-0.03,-0.01,-0.1,79125,33.42,-112.32
Racine WI,Racine,Wisconsin,-0.04,0.03,-0.07,0.05,-0.06,78703,42.73,-87.81
Ogden UT,Ogden,Utah,-0.08,-0.01,0.09,0.05,-0.01,78572,41.23,-111.97
Sugar Land TX,Sugar Land,Texas,0.02,-0.05,0.02,-0.04,-0.04,78502,29.62,-95.62
Hammond IN,Hammond,Indiana,0.01,0.08,-0.12,0.02,-0,78051,41.62,-87.49
Nampa ID,Nampa,Idaho,-0.04,-0,0.03,0.02,-0.11,77893,43.58,-116.56
Napa CA,Napa,California,-0.05,0.11,-0.01,-0.07,0.02,77884,38.3,-122.3
Canton OH,Canton,Ohio,-0.01,0.05,-0.06,0.04,-0.02,77575,40.81,-81.37
Melbourne FL,Melbourne,Florida,-0.01,-0.02,0.03,0.02,0.02,77320,28.11,-80.64
Chino CA,Chino,California,0.02,-0.05,0.07,0.03,0.09,77147,34.01,-117.69
Decatur IL,Decatur,Illinois,-0.03,0.01,0,0.09,-0.06,77026,39.85,-88.93
Champaign IL,Champaign,Illinois,-0.02,0.09,0.02,-0.01,0.01,76999,40.11,-88.26
Lake Forest CA,Lake Forest,California,0.01,-0.02,0.1,-0.02,-0.01,76859,33.63,-117.7
Roswell GA,Roswell,Georgia,-0,-0.03,0.01,-0.01,0.03,76825,34.04,-84.36
Youngstown OH,Youngstown,Ohio,0.04,-0.03,-0.06,0.09,0.06,76590,41.1,-80.65
Southfield MI,Southfield,Michigan,0.02,-0.12,0.03,0.06,0.04,76506,42.48,-83.26
Bellflower CA,Bellflower,California,-0.03,-0.05,0.06,-0.01,0.04,76437,33.89,-118.13
Longview TX,Longview,Texas,0.02,-0,0.08,-0,-0.02,76372,32.52,-94.76
Hesperia CA,Hesperia,California,-0.01,0.03,0.08,0.07,-0.02,75966,34.42,-117.3
Albany GA,Albany,Georgia,0.03,-0.06,-0.03,0.05,0.02,75510,31.58,-84.18
Evanston IL,Evanston,Illinois,0.02,-0.02,-0.05,-0.05,0.14,75419,42.05,-87.69
Upland CA,Upland,California,0.03,-0.09,0.1,-0,0.08,75365,34.12,-117.66
Pawtucket RI,Pawtucket,Rhode Island,0.03,-0.02,-0.03,0.03,0.05,75297,41.87,-71.37
Edmond OK,Edmond,Oklahoma,0.05,-0.05,0.09,0.03,0.02,75061,35.67,-97.41
Surprise AZ,Surprise,Arizona,-0,0.03,0.03,0.01,-0.08,74962,33.66,-112.47
Somerville MA,Somerville,Massachusetts,-0,0.03,-0.01,-0.06,-0.01,74802,42.39,-71.1
Bellingham WA,Bellingham,Washington,-0.1,-0.02,0.11,-0.03,0.07,74770,48.74,-122.47
Merced CA,Merced,California,-0.03,-0.07,0.07,0.05,-0.06,74415,37.3,-120.48
Bethlehem PA,Bethlehem,Pennsylvania,-0.04,0.03,-0.02,-0,-0.01,74087,40.63,-75.37
Missouri City TX,Missouri City,Texas,0.01,-0.03,-0.08,-0.05,0.04,73529,29.57,-95.54
Plymouth MN,Plymouth,Minnesota,-0,-0.05,0.07,-0.02,-0.02,73505,45.02,-93.46
Kalamazoo MI,Kalamazoo,Michigan,0.01,-0.02,0.01,-0.01,0.04,73504,42.27,-85.59
San Marcos CA,San Marcos,California,-0.04,-0.03,0.03,-0.03,0.03,73020,33.14,-117.17
Weston FL,Weston,Florida,0.03,-0.01,-0.01,-0.03,0.03,72902,26.1,-80.4
Lynwood CA,Lynwood,California,0.01,0.01,0.03,-0.02,0.05,72890,33.92,-118.2
New Rochelle NY,New Rochelle,New York,0.05,-0.03,-0.08,0.02,-0.03,72865,40.92,-73.78
Lawrence MA,Lawrence,Massachusetts,0.01,-0.02,-0.02,-0.02,0.02,72669,42.7,-71.16
Greenville NC,Greenville,North Carolina,-0.01,-0.03,0.01,0.02,-0.01,72617,35.6,-77.37
Scranton PA,Scranton,Pennsylvania,-0.02,0.08,-0.09,-0.01,-0.05,72516,41.4,-75.67
Chico CA,Chico,California,-0.05,0.02,0.09,0.03,0.1,71997,39.75,-121.81
Bloomington IL,Bloomington,Illinois,-0.02,0.09,0.04,-0.02,-0.01,71804,40.48,-88.97
Folsom CA,Folsom,California,-0.03,0.12,-0.02,-0,-0.06,71775,38.68,-121.15
Largo FL,Largo,Florida,-0.04,0.07,0.07,0.02,0.01,71688,27.91,-82.78
Redlands CA,Redlands,California,0.02,-0.03,0.05,0.03,0.08,71605,34.06,-117.17
Gulfport MS,Gulfport,Mississippi,-0.07,0.14,-0.02,0.04,0.01,71400,30.39,-89.07
New Britain CT,New Britain,Connecticut,-0.02,0.01,-0.1,-0.05,-0.06,71362,41.68,-72.79
Redwood City CA,Redwood City,California,0.01,0.04,-0.03,-0.02,0.05,71340,37.52,-122.21
Hemet CA,Hemet,California,-0.07,0.05,0.03,0.01,-0.07,71300,33.73,-117
Bloomington IN,Bloomington,Indiana,-0.05,0.03,0,-0.01,0.06,71260,39.17,-86.52
Wilmington DE,Wilmington,Delaware,0.03,-0,-0.11,-0.06,0.06,71065,39.74,-75.53
Medford OR,Medford,Oregon,-0.04,0.03,0.04,0.03,-0.02,70717,42.34,-122.85
Santa Fe NM,Santa Fe,New Mexico,0.06,-0.01,0.04,0.03,0.19,70598,35.68,-105.95
Turlock CA,Turlock,California,-0.05,0,0.05,0.02,-0.01,70570,37.5,-120.85
Wyoming MI,Wyoming,Michigan,-0.03,0.09,0.04,-0.05,-0.07,70474,42.89,-85.7
Bryan TX,Bryan,Texas,-0.07,0.03,-0.09,-0.01,-0.09,70386,30.67,-96.37
Union City CA,Union City,California,0.03,-0.08,0.07,-0.06,0.08,70125,37.6,-122.02
Appleton WI,Appleton,Wisconsin,-0.06,0,0.01,-0.01,-0.1,70090,44.27,-88.4
Alameda CA,Alameda,California,-0.02,0.01,-0.04,-0.04,0.09,70069,37.77,-122.26
Lake Charles LA,Lake Charles,Louisiana,0.02,-0.03,0.04,0.04,0.01,69910,30.21,-93.2
Indio CA,Indio,California,-0.03,0.03,-0.05,-0.04,-0.02,69736,33.72,-116.23
Manteca CA,Manteca,California,-0.01,0.02,0.1,0,-0.03,69588,37.8,-121.22
Kenner LA,Kenner,Louisiana,0.03,-0.02,0.02,-0.01,-0.06,69514,29.99,-90.25
Passaic NJ,Passaic,New Jersey,0.01,0.03,-0.08,0.02,0.05,69035,40.86,-74.13
Tustin CA,Tustin,California,0.02,0.02,0.11,-0.01,-0,69024,33.73,-117.81
Bend OR,Bend,Oregon,-0.08,-0.07,0.08,0.01,-0.11,68945,44.07,-121.31
Rochester Hills MI,Rochester Hills,Michigan,0.02,-0.01,0.08,-0,0.06,68879,42.67,-83.16
Waukesha WI,Waukesha,Wisconsin,-0.03,0.03,0.01,-0.02,-0.03,68725,43.01,-88.24
Redondo Beach CA,Redondo Beach,California,0.03,-0.07,0.09,-0.01,0.09,68669,33.86,-118.38
Asheville NC,Asheville,North Carolina,-0.07,0.04,0.05,0,0.01,68654,35.57,-82.55
Jacksonville NC,Jacksonville,North Carolina,0.01,0.05,-0.03,0.02,-0.03,68201,34.76,-77.4
East Orange NJ,East Orange,New Jersey,0.03,-0.08,-0.07,0.02,0.13,68064,40.77,-74.21
Mount Vernon NY,Mount Vernon,New York,-0.01,0,-0.13,-0.06,0.01,68048,40.91,-73.83
Pontiac MI,Pontiac,Michigan,0.02,0.02,-0.07,0.03,0.11,67952,42.65,-83.29
Gastonia NC,Gastonia,North Carolina,0.01,0.07,0.07,-0.01,0.01,67937,35.25,-81.17
Mountain View CA,Mountain View,California,-0.04,-0.04,0.04,-0.03,0.05,67788,37.4,-122.08
Boynton Beach FL,Boynton Beach,Florida,-0.01,-0.03,-0,-0.01,0.03,67720,26.53,-80.08
Lorain OH,Lorain,Ohio,0,0.04,0.02,0.05,0.04,67692,41.44,-82.18
Brooklyn Park MN,Brooklyn Park,Minnesota,0.02,-0.02,0.09,0.01,0,67660,45.11,-93.35
Hoover AL,Hoover,Alabama,-0.01,0.03,0.04,0.02,-0.02,67576,33.38,-86.82
Baytown TX,Baytown,Texas,-0.04,0.03,0.03,0.01,-0.05,67487,29.75,-94.97
Pleasanton CA,Pleasanton,California,0.02,0,0.06,-0.02,0.04,67119,37.67,-121.89
Kissimmee FL,Kissimmee,Florida,-0.04,0.03,-0.06,0.02,0.04,67085,28.3,-81.41
Laguna Niguel CA,Laguna Niguel,California,0.02,-0.01,-0.01,-0.03,-0.02,67009,33.53,-117.7
Davis CA,Davis,California,-0.02,0,0.06,-0.07,0.03,66992,38.55,-121.74
Pico Rivera CA,Pico Rivera,California,0.01,-0.06,0.04,-0.03,-0,66874,33.99,-118.09
Rio Rancho NM,Rio Rancho,New Mexico,-0,-0.05,0.05,0.04,-0,66833,35.27,-106.66
Delray Beach FL,Delray Beach,Florida,0.02,-0.01,-0.02,0.03,0.09,66633,26.45,-80.09
Deerfield Beach FL,Deerfield Beach,Florida,0.02,-0.01,0.05,0.02,0,66628,26.31,-80.12
Fayetteville AR,Fayetteville,Arkansas,-0.04,0.05,0.07,-0.01,0.03,66288,36.07,-94.16
Union City NJ,Union City,New Jersey,0.01,0.04,-0.12,-0.04,0.04,65939,40.77,-74.03
Yorba Linda CA,Yorba Linda,California,0.05,-0.01,0.01,-0.05,0.03,65932,33.89,-117.77
League City TX,League City,Texas,0.02,0,-0.02,-0.01,-0.05,65696,29.49,-95.11
Lynchburg VA,Lynchburg,Virginia,-0,0.02,-0,-0.04,-0.03,65485,37.4,-79.19
Walnut Creek CA,Walnut Creek,California,0.03,-0.03,0.05,-0.03,0.12,65334,37.9,-122.04
Waterloo IA,Waterloo,Iowa,-0.05,0.09,-0.04,-0.02,-0.09,65260,42.49,-92.35
Mission TX,Mission,Texas,-0.01,-0.06,-0.03,0.03,-0.02,65215,26.21,-98.32
Framingham MA,Framingham,Massachusetts,-0.03,0.04,-0.03,-0.04,-0.05,65103,42.31,-71.44
Eden Prairie MN,Eden Prairie,Minnesota,0.06,-0.07,0.05,0.04,0.01,65076,44.85,-93.46
San Clemente CA,San Clemente,California,0.07,-0.05,0.08,-0.04,0.01,64987,33.45,-117.61
Taylor MI,Taylor,Michigan,0.04,0.03,0.03,0.03,-0.04,64874,42.23,-83.27
Muncie IN,Muncie,Indiana,-0.01,0.02,-0.03,0.08,-0.04,64771,40.2,-85.39
Daytona Beach FL,Daytona Beach,Florida,0.02,-0.06,0.07,-0.01,-0.02,64735,29.19,-81.05
Montebello CA,Montebello,California,0.02,-0.03,0.08,0.02,0.07,64727,34.02,-118.11
Iowa City IA,Iowa City,Iowa,-0.05,0.05,-0.01,-0.06,0.07,64490,41.66,-91.54
Eagan MN,Eagan,Minnesota,0.05,0.02,0.11,-0.01,-0.16,64393,44.82,-93.16
Missoula MT,Missoula,Montana,0.02,0,0.02,0.04,0.01,64391,46.87,-114.01
North Richland Hills TX,North Richland Hills,Texas,-0.05,0.08,0.01,-0.01,-0.05,64317,32.86,-97.22
Huntington Park CA,Huntington Park,California,-0.03,-0,0.02,-0.02,0.01,64308,33.98,-118.22
Harlingen TX,Harlingen,Texas,-0.02,0.01,0,-0.02,-0.01,64198,26.2,-97.69
Pittsburg CA,Pittsburg,California,0.01,-0.05,-0.01,0.01,0.03,64106,38.02,-121.89
Lodi CA,Lodi,California,0.01,0.03,0.04,0.03,0,64068,38.12,-121.29
National City CA,National City,California,-0.04,-0.02,-0.01,-0.06,-0.07,64065,32.67,-117.1
Springfield OH,Springfield,Ohio,-0.03,0.01,0.01,0.05,-0.08,63915,39.93,-83.8
Monterey Park CA,Monterey Park,California,-0.04,0.05,0.05,-0.07,-0.04,63766,34.05,-118.13
Kennewick WA,Kennewick,Washington,0.04,-0.02,0.01,0.02,-0.04,63593,46.2,-119.17
Camarillo CA,Camarillo,California,-0.01,0.01,0.05,0.01,-0.03,63560,34.22,-119.03
Rockville MD,Rockville,Maryland,-0.01,-0.04,0.02,-0.03,0.02,63516,39.08,-77.15
Edinburg TX,Edinburg,Texas,0.09,-0.12,0.02,0.03,0.03,63193,26.3,-98.16
Layton UT,Layton,Utah,-0.02,-0.04,0.22,0.09,-0.07,63096,41.08,-111.95
Eau Claire WI,Eau Claire,Wisconsin,-0.06,0,0.06,-0.01,-0.04,63049,44.82,-91.49
Oshkosh WI,Oshkosh,Wisconsin,-0.01,0.07,0.04,-0.04,-0.12,62967,44.02,-88.55
Portland ME,Portland,Maine,-0.03,0.12,-0.05,-0.04,0.11,62882,43.66,-70.28
Coon Rapids MN,Coon Rapids,Minnesota,-0.01,-0.01,0.09,0,-0.09,62711,45.17,-93.31
Milpitas CA,Milpitas,California,0.04,-0.01,0.03,-0.06,0,62671,37.43,-121.89
Lafayette IN,Lafayette,Indiana,-0.05,0.06,0.01,0.01,-0.04,62589,40.41,-86.87
Jackson TN,Jackson,Tennessee,0.03,-0.02,0.08,0.05,-0.01,62552,35.63,-88.83
Dothan AL,Dothan,Alabama,0.04,-0.04,-0.01,0,0.05,62449,31.24,-85.41
Rapid City SD,Rapid City,South Dakota,-0.01,0.01,-0.01,0,-0.06,62302,44.08,-103.23
Victoria TX,Victoria,Texas,0.05,0.01,0.07,0.06,0,62296,28.82,-96.98
Encinitas CA,Encinitas,California,-0.01,0.01,0,-0.04,0.12,62273,33.05,-117.26
Maple Grove MN,Maple Grove,Minnesota,-0.03,-0,0.05,-0.04,-0.08,62021,45.11,-93.46
Janesville WI,Janesville,Wisconsin,-0.02,0.04,0.03,0.06,-0.02,61952,42.68,-89.02
Marietta GA,Marietta,Georgia,0.02,-0.01,-0.02,-0.03,0.03,61946,33.95,-84.54
Haverhill MA,Haverhill,Massachusetts,0.04,0.04,0.01,-0.08,0.02,61928,42.78,-71.09
Rock Hill SC,Rock Hill,South Carolina,-0.06,0.09,-0.03,-0.02,0.01,61899,34.94,-81.03
Gaithersburg MD,Gaithersburg,Maryland,-0.02,0.01,0,-0.06,0.01,61649,39.14,-77.22
Concord NC,Concord,North Carolina,-0,-0.04,0.06,0,0.04,61640,35.41,-80.59
Loveland CO,Loveland,Colorado,0.01,-0.05,0.1,0.02,0.06,61578,40.42,-105.07
Gardena CA,Gardena,California,-0.02,0.03,-0.02,-0.03,-0.03,61550,33.89,-118.3
Hamilton OH,Hamilton,Ohio,-0.06,0.04,-0.04,0.04,-0.08,61527,39.39,-84.56
Bristol CT,Bristol,Connecticut,-0.02,0.12,-0.06,0,-0.11,61166,41.68,-72.94
Bossier City LA,Bossier City,Louisiana,0.02,0.04,0.05,0.01,-0.1,60142,32.52,-93.66
Rancho Cordova CA,Rancho Cordova,California,-0,-0.02,0.06,0.02,0.02,59972,38.6,-121.3
Schenectady NY,Schenectady,New York,-0,0.07,-0.05,-0.02,0.14,59930,42.8,-73.93
La Habra CA,La Habra,California,0.07,-0.04,0.05,-0.02,0.02,59799,33.93,-117.95
Shawnee KS,Shawnee,Kansas,-0.04,0.02,0.03,0,-0.04,59626,39.02,-94.8
Warner Robins GA,Warner Robins,Georgia,0.05,0.04,0,0.01,-0.02,59593,32.61,-83.63
Meriden CT,Meriden,Connecticut,-0.01,0.09,-0.04,-0.03,-0.03,59558,41.54,-72.8
Rocklin CA,Rocklin,California,0.01,-0.07,0.05,0,0.01,59546,38.8,-121.24
Bayonne NJ,Bayonne,New Jersey,-0.02,0.07,-0.12,-0.04,0.03,59482,40.66,-74.11
Diamond Bar CA,Diamond Bar,California,-0,-0.02,0.03,-0.03,-0.04,59433,34,-117.81
Burnsville MN,Burnsville,Minnesota,-0,-0.03,0.04,-0.05,-0.06,59357,44.76,-93.28
Pearland TX,Pearland,Texas,-0.03,-0.01,0,0.02,-0.02,59287,29.56,-95.28
Jonesboro AR,Jonesboro,Arkansas,-0.02,0.08,0.03,-0.02,-0.07,59233,35.82,-90.69
Johnson City TN,Johnson City,Tennessee,0.04,-0.01,0.09,0.03,0,59183,36.33,-82.37
Lakewood WA,Lakewood,Washington,-0.03,0.04,0.02,-0,-0.05,58995,47.16,-122.53
West Allis WI,West Allis,Wisconsin,-0.03,0.02,0.03,0.01,-0.12,58958,43.01,-88.03
Council Bluffs IA,Council Bluffs,Iowa,0.01,0.05,-0.01,0.02,-0.09,58834,41.24,-95.86
North Little Rock AR,North Little Rock,Arkansas,-0,-0.04,0.08,0.07,-0.08,58771,34.79,-92.26
Springdale AR,Springdale,Arkansas,-0,0.01,0.05,-0,-0.06,58761,36.18,-94.15
Fishers IN,Fishers,Indiana,-0.01,-0,0.06,-0.02,-0,58678,39.95,-86.02
Vineland NJ,Vineland,New Jersey,-0.02,0.05,-0.08,0.02,0.03,58511,39.46,-75
Cedar Park TX,Cedar Park,Texas,-0.02,-0.01,0.05,-0,-0.07,58499,30.51,-97.83
Flagstaff AZ,Flagstaff,Arizona,-0.02,0.01,0.05,0.01,0.15,58490,35.19,-111.62
Waltham MA,Waltham,Massachusetts,-0.03,0.05,0.06,0.01,-0.08,58407,42.39,-71.24
Carson City NV,Carson City,Nevada,-0.01,-0.02,0.06,0.03,0,58350,39.15,-119.74
Frederick MD,Frederick,Maryland,-0.03,0.03,0.01,-0.05,-0.07,58271,39.43,-77.42
North Miami FL,North Miami,Florida,-0.01,-0.01,-0.05,0.03,0.09,58238,25.9,-80.17
Taylorsville UT,Taylorsville,Utah,-0.02,-0.02,0.12,0.02,-0.09,58200,40.66,-111.94
South San Francisco CA,South San Francisco,California,0.04,-0.02,0.02,-0.02,-0.03,58176,37.66,-122.42
Utica NY,Utica,New York,0.03,0.09,-0.07,-0.01,-0.02,58151,43.1,-75.23
White Plains NY,White Plains,New York,-0.02,0.02,-0.07,-0.09,0.05,58084,41.02,-73.76
Lake Havasu City AZ,Lake Havasu City,Arizona,0.02,-0.03,0.02,0.02,0.03,57685,34.5,-114.31
Ames IA,Ames,Iowa,-0.01,0,0.05,-0.04,-0,57683,42.02,-93.63
Paramount CA,Paramount,California,0.01,-0.01,0.03,0.02,0.02,57672,33.9,-118.16
Arcadia CA,Arcadia,California,-0.02,-0.02,0.04,-0.05,-0.02,57429,34.13,-118.04
Taunton MA,Taunton,Massachusetts,-0.02,0.13,-0.03,-0.01,-0.03,57377,41.9,-71.09
Renton WA,Renton,Washington,-0.02,0,0.02,-0.06,-0.01,57369,47.48,-122.2
Rowlett TX,Rowlett,Texas,-0.03,-0.02,0.12,-0.02,-0.01,57174,32.91,-96.55
West Des Moines IA,West Des Moines,Iowa,0.03,0.02,0.01,-0.01,-0.06,57126,41.57,-93.75
Royal Oak MI,Royal Oak,Michigan,0,-0.02,0.06,-0.01,0.02,57043,42.51,-83.15
Anderson IN,Anderson,Indiana,-0.03,-0.02,0.09,0.07,-0.01,57036,40.09,-85.69
Dubuque IA,Dubuque,Iowa,-0.01,0.06,0.08,-0.03,-0.07,57027,42.5,-90.69
Bowie MD,Bowie,Maryland,0.04,-0.03,-0.04,-0.05,0.05,56949,38.96,-76.74
Bismarck ND,Bismarck,North Dakota,-0.02,-0.01,0.07,-0,-0.07,56927,46.81,-100.77
Murray UT,Murray,Utah,-0.01,-0.07,0.05,0.02,-0.05,56848,40.65,-111.89
