full,city,state,extraversion,neuroticism,agreeableness,conscientiousness,openness,pop,lat,long
Henderson NV,Henderson,Nevada,-0.01,-0.04,0.1,0.01,-0.02,255646,36.03,-115
Norfolk VA,Norfolk,Virginia,0.06,-0.04,-0.04,0.03,0.13,248182,36.92,-76.24
Chandler AZ,Chandler,Arizona,0.01,0.02,0.04,-0.01,0.03,247915,33.3,-111.87
Lincoln NE,Lincoln,Nebraska,-0.01,-0.03,0.02,0.01,-0.05,245301,40.82,-96.69
Glendale AZ,Glendale,Arizona,-0.07,0.03,0.05,0.01,-0.05,244734,33.58,-112.2
Jersey City NJ,Jersey City,New Jersey,0.02,0.01,-0.16,-0.06,0.11,237125,40.71,-74.06
Greensboro NC,Greensboro,North Carolina,-0.01,-0.04,0.02,-0.01,0.1,233342,36.08,-79.83
Fort Wayne IN,Fort Wayne,Indiana,-0.05,-0.02,0.04,0.07,-0.06,231147,41.07,-85.14
Scottsdale AZ,Scottsdale,Arizona,0.06,-0.03,0.03,0.04,-0.04,230949,33.69,-111.87
Birmingham AL,Birmingham,Alabama,0.08,-0.07,0.01,0.05,0.08,229300,33.53,-86.8
Madison WI,Madison,Wisconsin,-0.09,-0,0.03,-0.1,0.01,227642,43.08,-89.39
Hialeah FL,Hialeah,Florida,0.05,0.03,-0.1,-0.05,0.03,224644,25.86,-80.3
Chesapeake VA,Chesapeake,Virginia,-0.03,-0.03,0.11,0.04,-0,223222,36.68,-76.31
Baton Rouge LA,Baton Rouge,Louisiana,0.09,-0.07,-0.01,-0,0.06,222217,30.45,-91.13
Chula Vista CA,Chula Vista,California,0.03,-0.04,0.09,-0.04,0.1,221736,32.63,-117.04
Modesto CA,Modesto,California,0.02,0.01,0.07,-0.01,-0.02,221674,37.66,-120.99
Laredo TX,Laredo,Texas,0.02,-0.04,-0.03,-0.06,0.1,218041,27.53,-99.49
Garland TX,Garland,Texas,0.03,-0.01,0.02,-0.03,-0.05,217609,32.91,-96.63
Lubbock TX,Lubbock,Texas,-0.02,0,0.02,0.03,-0.04,213587,33.58,-101.88
Orlando FL,Orlando,Florida,0.07,-0.07,0.05,0.02,0.02,211226,28.5,-81.37
Rochester NY,Rochester,New York,-0.04,0.03,-0.07,0.02,0.02,209587,43.17,-77.62
Durham NC,Durham,North Carolina,0.04,-0.05,-0,-0.01,0,208426,35.98,-78.91
Akron OH,Akron,Ohio,-0.02,0.03,-0.08,0.05,0,206634,41.08,-81.52
Reno NV,Reno,Nevada,-0,-0.04,0.02,0.01,0.04,206626,39.54,-119.82
San Bernardino CA,San Bernardino,California,-0.04,0.03,-0.05,-0.01,0,205743,34.14,-117.29
Glendale CA,Glendale,California,0.02,-0.04,0.04,-0.04,0.09,204747,34.18,-118.25
Fremont CA,Fremont,California,-0.02,-0.02,-0,-0.05,0.02,202574,37.53,-122
Irvine CA,Irvine,California,-0.01,-0.05,-0.02,-0.04,0.02,199755,33.66,-117.8
Yonkers NY,Yonkers,New York,0.01,0,-0.16,-0.01,0.02,198045,40.95,-73.87
Montgomery AL,Montgomery,Alabama,0.06,-0.09,0.06,0.04,0.06,197653,32.35,-86.28
Tacoma WA,Tacoma,Washington,-0.03,0.06,0.02,-0.05,0.07,197621,47.25,-122.46
Spokane WA,Spokane,Washington,-0.08,-0,0.1,0.06,-0.01,197513,47.67,-117.41
Huntington Beach CA,Huntington Beach,California,0.08,-0.05,0.07,0.02,0.04,197124,33.69,-118.01
Shreveport LA,Shreveport,Louisiana,0.01,-0.06,0.01,0.04,0.04,196228,32.47,-93.8
Irving TX,Irving,Texas,-0.02,0.01,-0.04,0.01,0.03,194407,32.86,-96.97
Grand Rapids MI,Grand Rapids,Michigan,-0.02,0.03,0.02,-0.02,-0.04,193006,42.96,-85.66
Des Moines IA,Des Moines,Iowa,-0.02,-0,-0.02,-0.03,-0.04,192050,41.58,-93.62
Oxnard CA,Oxnard,California,-0.01,-0,0.06,-0.02,0.09,190658,34.2,-119.21
Richmond VA,Richmond,Virginia,0.03,-0.03,-0.03,-0.04,0.05,189498,37.53,-77.47
Mobile AL,Mobile,Alabama,0.01,-0.04,0.06,0.01,0,188467,30.68,-88.09
Columbus GA,Columbus,Georgia,0.03,-0.03,-0.02,-0.02,0.05,184900,32.51,-84.87
Little Rock AR,Little Rock,Arkansas,0.03,-0.03,-0.07,-0.01,0.03,184323,34.72,-92.35
Newport News VA,Newport News,Virginia,0,-0.01,0.01,-0.05,0.02,183941,37.08,-76.51
Amarillo TX,Amarillo,Texas,-0.03,0.05,0.06,0.02,-0.01,183295,35.2,-101.82
Aurora IL,Aurora,Illinois,-0.02,-0.05,-0,-0.04,0.01,181120,41.77,-88.29
Providence RI,Providence,Rhode Island,0.01,0.02,-0.13,-0.06,0.04,178295,41.82,-71.42
Fontana CA,Fontana,California,-0.03,-0.05,0.06,0.01,0.04,178257,34.1,-117.46
Worcester MA,Worcester,Massachusetts,-0.02,0.08,-0.05,-0.09,-0.02,177973,42.27,-71.81
North Las Vegas NV,North Las Vegas,Nevada,-0.04,0.02,-0.06,0.01,0.05,177751,36.27,-115.14
